AIM-Spice Version 2019.100  (Built on Aug 27 2019)
Simulation started on Tue Nov 12 13:41:12 2019
Circuit: * A simulation of all four pixels
Analysis: Transient Analysis
Time,v(erase),v(expose),v(n211),v(nre_r1),v(nre_r2),v(out_c1),v(out_c2)
4.88252906370493e-03,0.00000000000000e+00,0.00000000000000e+00,4.95137427811228e-01,1.80000000000000e+00,1.80000000000000e+00,1.77362270745821e+00,1.77286091079949e+00
5.00000000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94938754767998e-01,1.80000000000000e+00,1.80000000000000e+00,1.77362261439317e+00,1.77286981327156e+00
5.00300000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94895314641940e-01,1.61999999999998e+00,1.80000000000000e+00,1.68404327699036e+00,1.70341883439951e+00
5.00900000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94813415982053e-01,1.25999999999998e+00,1.80000000000000e+00,1.49659146907575e+00,1.53515726371451e+00
5.02100000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94718733632479e-01,5.39999999999989e-01,1.80000000000000e+00,9.87829335701694e-01,1.00384382442741e+00
5.03000000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94666021267487e-01,2.13162820728030e-14,1.80000000000000e+00,5.81315553190854e-01,6.72297162685135e-01
5.03240000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94667520514044e-01,0.00000000000000e+00,1.80000000000000e+00,5.84187864262914e-01,6.76209147329855e-01
5.03720000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94668847438093e-01,0.00000000000000e+00,1.80000000000000e+00,5.93714278792425e-01,6.84101587586677e-01
5.04680000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94670094780257e-01,0.00000000000000e+00,1.80000000000000e+00,6.13783477696337e-01,6.99755717060102e-01
5.06600000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94670836145290e-01,0.00000000000000e+00,1.80000000000000e+00,6.52092235667244e-01,7.26489744763256e-01
5.10440000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94662360698584e-01,0.00000000000000e+00,1.80000000000000e+00,7.17891172802328e-01,7.65198175614345e-01
5.18120000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94593420594073e-01,0.00000000000000e+00,1.80000000000000e+00,7.90288847440471e-01,8.12010169369663e-01
5.33480000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94386743993641e-01,0.00000000000000e+00,1.80000000000000e+00,8.52560215297075e-01,8.59999154841171e-01
5.57480000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.94000750687386e-01,0.00000000000000e+00,1.80000000000000e+00,8.75904757716125e-01,8.75135001545127e-01
5.81480000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.93591870645062e-01,0.00000000000000e+00,1.80000000000000e+00,8.72205249850340e-01,8.71609722061328e-01
6.03000000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.93229001544463e-01,0.00000000000000e+00,1.80000000000000e+00,8.73050833120809e-01,8.72596398742453e-01
6.03300000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.93299613513417e-01,1.79999999999998e-01,1.80000000000000e+00,9.61620149280851e-01,9.60359400932939e-01
6.03900000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.93290724495212e-01,5.39999999999994e-01,1.80000000000000e+00,1.00594380845924e+00,1.00620290016120e+00
6.05100000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.93209191054006e-01,1.25999999999999e+00,1.80000000000000e+00,1.16393640202440e+00,1.13067006122310e+00
6.06000000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.93228758076865e-01,1.79999999999995e+00,1.80000000000000e+00,1.44604519089739e+00,1.35675584771277e+00
6.06173662327221e-03,0.00000000000000e+00,0.00000000000000e+00,4.93211333892186e-01,1.80000000000000e+00,1.80000000000000e+00,1.44771259227528e+00,1.35839576746570e+00
6.06520986981663e-03,0.00000000000000e+00,0.00000000000000e+00,4.93185752859070e-01,1.80000000000000e+00,1.80000000000000e+00,1.45091477839463e+00,1.36164121594596e+00
6.07215636290547e-03,0.00000000000000e+00,0.00000000000000e+00,4.93158902857366e-01,1.80000000000000e+00,1.80000000000000e+00,1.45713945731599e+00,1.36806938816851e+00
6.08604934908314e-03,0.00000000000000e+00,0.00000000000000e+00,4.93122811462374e-01,1.80000000000000e+00,1.80000000000000e+00,1.46954162453851e+00,1.38072598027462e+00
6.11383532143849e-03,0.00000000000000e+00,0.00000000000000e+00,4.93067718514666e-01,1.80000000000000e+00,1.80000000000000e+00,1.49372696834096e+00,1.40536195844979e+00
6.16940726614919e-03,0.00000000000000e+00,0.00000000000000e+00,4.92970510536316e-01,1.80000000000000e+00,1.80000000000000e+00,1.53703087452136e+00,1.44954816421979e+00
6.28055115557059e-03,0.00000000000000e+00,0.00000000000000e+00,4.92782458309574e-01,1.80000000000000e+00,1.80000000000000e+00,1.60535206403136e+00,1.52271977300087e+00
6.50283893441339e-03,0.00000000000000e+00,0.00000000000000e+00,4.92405662435275e-01,1.80000000000000e+00,1.80000000000000e+00,1.69525318131069e+00,1.62757946571242e+00
6.74283893441339e-03,0.00000000000000e+00,0.00000000000000e+00,4.91999685953497e-01,1.80000000000000e+00,1.80000000000000e+00,1.74550568302911e+00,1.69794658382553e+00
6.98283893441339e-03,0.00000000000000e+00,0.00000000000000e+00,4.91594114858307e-01,1.80000000000000e+00,1.80000000000000e+00,1.76522786771627e+00,1.73798205896528e+00
7.00000000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91564907923595e-01,1.80000000000000e+00,1.80000000000000e+00,1.76592956069822e+00,1.73993187051783e+00
7.00300000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91559926272545e-01,1.80000000000000e+00,1.61999999999998e+00,1.67655293104242e+00,1.67105343676972e+00
7.00900000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91550156611852e-01,1.80000000000000e+00,1.25999999999998e+00,1.49119304073972e+00,1.51689213795600e+00
7.02100000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91532007349139e-01,1.80000000000000e+00,5.39999999999989e-01,9.87614478558292e-01,1.00532272390380e+00
7.03000000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91519100918155e-01,1.80000000000000e+00,2.13162820728030e-14,5.79266068004456e-01,6.95822426256978e-01
7.03240000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91515661259267e-01,1.80000000000000e+00,0.00000000000000e+00,5.81522333238915e-01,6.99004733227913e-01
7.03720000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91508705506032e-01,1.80000000000000e+00,0.00000000000000e+00,5.91038395661344e-01,7.04768114007351e-01
7.04680000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91494198513924e-01,1.80000000000000e+00,0.00000000000000e+00,6.11171845418352e-01,7.15561004558546e-01
7.06600000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91463026037138e-01,1.80000000000000e+00,0.00000000000000e+00,6.49605522846689e-01,7.35633706484607e-01
7.10440000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91398656432204e-01,1.80000000000000e+00,0.00000000000000e+00,7.16276905095427e-01,7.67170082542725e-01
7.18120000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91268383353954e-01,1.80000000000000e+00,0.00000000000000e+00,7.89581166296267e-01,8.09511194109008e-01
7.33480000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.91008398419214e-01,1.80000000000000e+00,0.00000000000000e+00,8.51311641570741e-01,8.55331326291099e-01
7.57480000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.90604534977100e-01,1.80000000000000e+00,0.00000000000000e+00,8.73420675250588e-01,8.72062967773701e-01
7.81480000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.90200291347491e-01,1.80000000000000e+00,0.00000000000000e+00,8.69489747371592e-01,8.69725068612599e-01
8.03000000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.89837836698542e-01,1.80000000000000e+00,0.00000000000000e+00,8.70437618516998e-01,8.69622126747603e-01
8.03300000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.89832721461915e-01,1.80000000000000e+00,1.79999999999894e-01,9.58807014515283e-01,9.53390975679128e-01
8.03900000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.89822400707011e-01,1.80000000000000e+00,5.39999999999942e-01,1.00360926066707e+00,9.97790483575617e-01
8.05100000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.89801412234421e-01,1.80000000000000e+00,1.25999999999993e+00,1.17698382921891e+00,1.17353749217694e+00
8.06000000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.89785049815759e-01,1.80000000000000e+00,1.79999999999995e+00,1.45877930947490e+00,1.39804284319863e+00
8.06153928433953e-03,0.00000000000000e+00,0.00000000000000e+00,4.89782230514107e-01,1.80000000000000e+00,1.80000000000000e+00,1.46020525091290e+00,1.39936022142644e+00
8.06461785301859e-03,0.00000000000000e+00,0.00000000000000e+00,4.89776572147662e-01,1.80000000000000e+00,1.80000000000000e+00,1.46295431934858e+00,1.40197573753756e+00
8.07077499037671e-03,0.00000000000000e+00,0.00000000000000e+00,4.89765279480586e-01,1.80000000000000e+00,1.80000000000000e+00,1.46831413526381e+00,1.40715280346068e+00
8.08308926509296e-03,0.00000000000000e+00,0.00000000000000e+00,4.89743033488240e-01,1.80000000000000e+00,1.80000000000000e+00,1.47900041457278e+00,1.41737582530194e+00
8.10771781452545e-03,0.00000000000000e+00,0.00000000000000e+00,4.89700127076780e-01,1.80000000000000e+00,1.80000000000000e+00,1.49991885192338e+00,1.43698245691574e+00
8.15697491339043e-03,0.00000000000000e+00,0.00000000000000e+00,4.89615945134926e-01,1.80000000000000e+00,1.80000000000000e+00,1.53784259762668e+00,1.47320461453108e+00
8.25548911112039e-03,0.00000000000000e+00,0.00000000000000e+00,4.89449071472232e-01,1.80000000000000e+00,1.80000000000000e+00,1.60027110067756e+00,1.53516309193969e+00
8.45251750658031e-03,0.00000000000000e+00,0.00000000000000e+00,4.89116033323158e-01,1.80000000000000e+00,1.80000000000000e+00,1.68631824516653e+00,1.62704772610730e+00
8.69251750658031e-03,0.00000000000000e+00,0.00000000000000e+00,4.88711859623956e-01,1.80000000000000e+00,1.80000000000000e+00,1.74139581267825e+00,1.69750184189596e+00
8.93251750658031e-03,0.00000000000000e+00,0.00000000000000e+00,4.88307075871031e-01,1.80000000000000e+00,1.80000000000000e+00,1.76369685013183e+00,1.73774467699959e+00
9.00000000000000e-03,0.00000000000000e+00,0.00000000000000e+00,4.88192853903356e-01,1.80000000000000e+00,1.80000000000000e+00,1.76648421318656e+00,1.74486049409693e+00
9.00300000000000e-03,1.79999999999972e-01,0.00000000000000e+00,4.88197063021395e-01,1.80000000000000e+00,1.80000000000000e+00,1.76659807908315e+00,1.74514915065858e+00
9.00900000000000e-03,5.40000000000020e-01,0.00000000000000e+00,1.55023067989381e-01,1.80000000000000e+00,1.80000000000000e+00,1.76683302553886e+00,1.74577375321868e+00
